FNV     A32     DJB
957     1077    982
1035    1061    983
1045    991     1068
981     984     997
997     1016    975
1046    1009    988
994     1031    1043
983     1013    997
1012    1023    994
1049    967     960
1005    979     1037
1039    1034    1016
1029    1007    1018
1012    978     987
902     1045    1002
1000    1009    975
1012    977     1001
918     1031    1088
1000    966     989
1005    1030    1005
1039    970     1039
965     1017    1002
997     1001    1028
991     995     938
1036    1002    994
1068    987     1061
1039    994     955
989     1021    1001
1019    1007    1035
991     1007    1007
1001    965     1018
1000    1005    975
947     1000    1002
1014    1011    994
1068    977     990
996     1002    1006
1004    1013    946
1038    959     1004
1006    982     1011
977     975     979
935     983     988
972     989     991
1037    1019    1015
979     958     1104
1016    1054    1013
1002    988     992
987     1000    989
994     980     955
964     993     1032
990     987     1030
1019    1002    1007
1015    968     1003
983     1030    1015
1013    1014    989
1025    1006    1013
988     1002    1014
1006    965     1023
980     981     954
963     972     990
1015    993     1023
943     989     966
938     1022    992
938     1026    979
1031    1012    997
1026    959     994
1028    950     1018
999     1067    992
968     945     1009
1045    1003    1009
1025    1034    998
1058    965     1026
929     989     983
998     987     1010
1002    1026    984
990     951     999
1080    1000    1008
1008    1022    1026
1000    1012    1031
1024    1013    933
922     987     1019
1011    1000    1042
953     1042    1014
983     1023    977
867     1003    991
1042    1001    1036
1046    995     962
1029    1073    991
983     1001    983
995     992     940
1060    953     988
952     961     1003
1055    975     947
993     968     1016
1012    964     966
976     1014    976
1013    1038    1021
1029    1019    961
983     1008    1009
994     997     989
983     1012    985
